sz,Adults_18plus_pct,Seniors_67plus_thousands
2000,6,4695
2001,6.4,4955
2002,6.5,5325
2003,6.6,5701
2004,7,6023
2005,7.3,6262
2006,7.6,6349
2007,7.5,6407
2008,7.9,6440
2009,8.6,6536
2010,8.7,6632
2011,8.4,6849
2012,8.4,6920
2013,8.7,6935
2014,8.4,6894
2015,8.7,6899
2016,8.5,6983
2017,8.5,7012
2018,9.1,6958
2019,8.3,6906
2020,8.2,6756
2021,8.5,6429
2022,8.4,6247
2023,8.6,6060
